"","rules","support","confidence","lift","count"
"1","{District/South} => {alterations}",0.10529358826753,0.960247592847318,0.987014456660092,20943
"2","{dwelling,1,0,,5,wood} => {dwelling,1,1}",0.128616749035953,0.996727187719162,4.41477830055068,25582
"3","{dwelling,1,0,,5,wood} => {family}",0.129039069687935,1,2.85449196326062,25666
"4","{dwelling,1,0,,5,wood} => {(5),5,wood}",0.128888240883656,0.998831138471129,1.77499876948203,25636
"5","{dwelling,1,0,,5,wood} => {frame}",0.129039069687935,1,1.71602477827242,25666
"6","{dwelling,1,0,,5,wood} => {alterations}",0.129039069687935,1,1.02787496059574,25666
"7","{on} => {alterations}",0.102885355025867,0.980734208760663,1.00807213618476,20464
"8","{at} => {alterations}",0.113046188807497,0.995660452552805,1.02341444843445,22485
"9","{1,1,constr} => {type}",0.134785647130985,1,4.39988054683007,26809
"10","{1,1,constr} => {alterations}",0.134785647130985,1,1.02787496059574,26809
"11","{for} => {alterations}",0.152301898934646,0.983379321538711,1.01079098137727,30293
"12","{with} => {alterations}",0.143930900297133,0.983104395604396,1.01050839189337,28628
"13","{in} => {alterations}",0.143930900297133,0.997630331753555,1.0254392379403,28628
"14","{dwelling,1,1} => {family}",0.225770609499198,1,2.85449196326062,44906
"15","{dwelling,1,1} => {(5),5,wood}",0.224639393467102,0.994989533692602,1.76817194611611,44681
"16","{dwelling,1,1} => {frame}",0.224976244463326,0.99648153921525,1.70998701238441,44748
"17","{dwelling,1,1} => {alterations}",0.225770609499198,1,1.02787496059574,44906
"18","{new} => {alterations}",0.188264513501692,0.991369268241025,1.01900364752907,37446
"19","{type} => {alterations}",0.211869221371436,0.932199265584215,0.958184283379753,42141
"20","{&} => {alterations}",0.199958773460164,0.991647343356521,1.01928947397746,39772
"21","{and} => {alterations}",0.240315533858553,0.995252670372915,1.02299529934237,47799
"22","{of} => {alterations}",0.263573335478454,0.982054212015061,1.00942893447786,52425
"23","{to} => {alterations}",0.287600364000181,0.994385245189215,1.02210369471585,57204
"24","{family} => {(5),5,wood}",0.338298952745336,0.965671641791045,1.71607182624127,67288
"25","{family} => {frame}",0.347162658810162,0.990973019517796,1.70053425609198,69051
"26","{family} => {alterations}",0.346287851745341,0.98847588978186,1.01602961625937,68877
"27","{(5),5,wood} => {frame}",0.562722158259637,1,1.71602477827242,111926
"28","{frame} => {(5),5,wood}",0.562722158259637,0.965645166856472,1.71602477827242,111926
"29","{(5),5,wood} => {alterations}",0.562717130632827,0.999991065525436,1.02786577707305,111925
"30","{frame} => {alterations}",0.571590891951272,0.980864133623218,1.00820568269774,113690
"31","{dwelling,1,0,,5,wood,dwelling,1,1} => {family}",0.128616749035953,1,2.85449196326062,25582
"32","{dwelling,1,0,,5,wood,family} => {dwelling,1,1}",0.128616749035953,0.996727187719162,4.41477830055068,25582
"33","{dwelling,1,0,,5,wood,dwelling,1,1} => {(5),5,wood}",0.128465920231673,0.998827300445626,1.77499194901931,25552
"34","{(5),5,wood,dwelling,1,0,,5,wood} => {dwelling,1,1}",0.128465920231673,0.996723357778124,4.41476133669057,25552
"35","{dwelling,1,0,,5,wood,dwelling,1,1} => {frame}",0.128616749035953,1,1.71602477827242,25582
"36","{dwelling,1,0,,5,wood,frame} => {dwelling,1,1}",0.128616749035953,0.996727187719162,4.41477830055068,25582
"37","{dwelling,1,0,,5,wood,dwelling,1,1} => {alterations}",0.128616749035953,1,1.02787496059574,25582
"38","{alterations,dwelling,1,0,,5,wood} => {dwelling,1,1}",0.128616749035953,0.996727187719162,4.41477830055068,25582
"39","{dwelling,1,0,,5,wood,family} => {(5),5,wood}",0.128888240883656,0.998831138471129,1.77499876948203,25636
"40","{(5),5,wood,dwelling,1,0,,5,wood} => {family}",0.128888240883656,1,2.85449196326062,25636
"41","{dwelling,1,0,,5,wood,family} => {frame}",0.129039069687935,1,1.71602477827242,25666
"42","{dwelling,1,0,,5,wood,frame} => {family}",0.129039069687935,1,2.85449196326062,25666
"43","{dwelling,1,0,,5,wood,family} => {alterations}",0.129039069687935,1,1.02787496059574,25666
"44","{alterations,dwelling,1,0,,5,wood} => {family}",0.129039069687935,1,2.85449196326062,25666
"45","{(5),5,wood,dwelling,1,0,,5,wood} => {frame}",0.128888240883656,1,1.71602477827242,25636
"46","{dwelling,1,0,,5,wood,frame} => {(5),5,wood}",0.128888240883656,0.998831138471129,1.77499876948203,25636
"47","{(5),5,wood,dwelling,1,0,,5,wood} => {alterations}",0.128888240883656,1,1.02787496059574,25636
"48","{alterations,dwelling,1,0,,5,wood} => {(5),5,wood}",0.128888240883656,0.998831138471129,1.77499876948203,25636
"49","{dwelling,1,0,,5,wood,frame} => {alterations}",0.129039069687935,1,1.02787496059574,25666
"50","{alterations,dwelling,1,0,,5,wood} => {frame}",0.129039069687935,1,1.71602477827242,25666
"51","{1,1,constr,type} => {alterations}",0.134785647130985,1,1.02787496059574,26809
"52","{1,1,constr,alterations} => {type}",0.134785647130985,1,4.39988054683007,26809
"53","{(5),5,wood,with} => {frame}",0.113805360455704,1,1.71602477827242,22636
"54","{frame,with} => {(5),5,wood}",0.113805360455704,0.980168009006668,1.74183297142251,22636
"55","{(5),5,wood,with} => {alterations}",0.113800332828895,0.999955822583495,1.02782955173549,22635
"56","{frame,with} => {alterations}",0.115253316976787,0.992638780635663,1.02030854753169,22924
"57","{alterations,with} => {frame}",0.115253316976787,0.800754506077966,1.37411457374308,22924
"58","{(5),5,wood,in} => {frame}",0.11126138129019,1,1.71602477827242,22130
"59","{frame,in} => {(5),5,wood}",0.11126138129019,0.990289524320938,1.75981967261368,22130
"60","{(5),5,wood,in} => {alterations}",0.11126138129019,1,1.02787496059574,22130
"61","{frame,in} => {alterations}",0.112231713264388,0.998926030339643,1.02677105407342,22323
"62","{dwelling,1,1,family} => {(5),5,wood}",0.224639393467102,0.994989533692602,1.76817194611611,44681
"63","{(5),5,wood,dwelling,1,1} => {family}",0.224639393467102,1,2.85449196326062,44681
"64","{dwelling,1,1,family} => {frame}",0.224976244463326,0.99648153921525,1.70998701238441,44748
"65","{dwelling,1,1,frame} => {family}",0.224976244463326,1,2.85449196326062,44748
"66","{dwelling,1,1,family} => {alterations}",0.225770609499198,1,1.02787496059574,44906
